,collector_name,collector_address,collector_number,collector_nik,time_to_collect,avg_bill_methods,debtor_volume_handled,bill_amount_collected,total_actual,total_cost,success_rate,collector_zip,collector_rt,collector_rw,collector_birth_place,collector_age,collector_marital_status,collector_gender
28,Jennifer Medina,"Gang Ahmad Yani No. 11
Ternate, KR 56213",+62 (0605) 209 9523,6662862887511746,3,sms or WA,13,71700000,122500000,109455,59.0,56213,13,7,"Kalimantan Selatan, 28-11-1985",38,Belum menikah,laki-laki
29,Kelsey Brown,"Jl. Pasteur No. 2
Tegal, Kalimantan Selatan 44096",+62 (030) 759-5619,9474549916298063,0,sms or WA,3,1800000,2300000,39860,78.0,44096,3,13,"Nusa Tenggara Timur, 01-06-1989",34,Cerai hidup,perempuan
30,Mrs. Cheryl Wright MD,"Jl. Abdul Muis No. 58
Langsa, JA 16222",+62 (61) 119-1452,7136306895301615,2,sms or WA,15,12000000,14500000,116840,83.0,16222,12,6,"Bali, 29-03-1987",36,Cerai hidup,perempuan
31,Richard Santiago,"Jalan Veteran No. 3
Bekasi, SS 52343",+62 (0514) 850-6833,6865217474715083,4,sms or WA,1,900000,1200000,9053,75.0,52343,3,18,"DKI Jakarta, 22-01-1990",33,Belum menikah,perempuan
32,Edwin Crosby,"Jl. Rajawali Barat No. 933
Tanjungbalai, GO 41567",+62 (069) 562-5300,7163916488540115,0,sms or WA,10,39500000,64100000,57276,62.0,41567,9,11,"Papua Barat, 15-11-1964",59,Menikah,perempuan
33,Matthew Mullins,"Jalan Rumah Sakit No. 45
Lhokseumawe, Kepulauan Bangka Belitung 35161",+62 (010) 473-3520,7024944884641886,3,sms or WA,14,40300000,131100000,110254,31.0,35161,12,13,"Kalimantan Utara, 30-01-1986",37,Cerai mati,perempuan
34,Cynthia Rodriguez DVM,"Jl. Cikutra Timur No. 69
Ternate, BT 83821",+62 (0960) 360-9448,2095851374339167,0,sms or WA,9,9600000,31400000,51886,31.0,83821,16,8,"Kepulauan Bangka Belitung, 05-07-1997",26,Cerai hidup,laki-laki
35,Monica Bright,"Gang Cikutra Barat No. 615
Payakumbuh, Nusa Tenggara Barat 14063",+62 (0556) 032 2575,4782763514756618,3,sms or WA,19,30500000,44600000,153376,68.0,14063,19,8,"Kalimantan Tengah, 12-05-1979",44,Menikah,perempuan
36,Bridget Campbell,"Jl. HOS. Cokroaminoto No. 1
Meulaboh, Maluku 04564",+62 (70) 603 6542,5274575698766135,4,sms or WA,2,6100000,7900000,24874,77.0,4564,13,19,"Nusa Tenggara Barat, 03-08-1969",54,Menikah,perempuan
37,Angela Woods,"Jl. Moch. Ramdan No. 02
Metro, Gorontalo 84926",+62-343-169-2032,3401742366037561,1,sms or WA,13,81600000,108000000,92063,76.0,84926,13,16,"Jawa Timur, 13-04-1996",27,Belum menikah,laki-laki
38,Amy Gibson,"Gg. Sadang Serang No. 29
Jambi, JB 53937",+62-0631-098-5004,1836853885713607,2,sms or WA,19,41900000,95400000,199415,44.0,53937,4,10,"Sulawesi Selatan, 08-11-2000",23,Cerai hidup,perempuan
39,Eric Love,"Gg. Kutisari Selatan No. 22
Ternate, JT 21887",+62-0082-491-4465,8197983211733787,4,sms or WA,7,30000000,47000000,64833,64.0,21887,2,7,"Sulawesi Tengah, 22-03-1981",42,Cerai hidup,perempuan
40,Stacy Austin,"Gg. Jend. Sudirman No. 09
Banjarbaru, DI Yogyakarta 06961",+62 (068) 563 5923,3800446773682942,0,sms or WA,13,8900000,25600000,110229,35.0,6961,9,9,"Sulawesi Selatan, 18-11-2000",23,Belum menikah,perempuan
41,Billy Kaiser,"Gg. Jamika No. 110
Semarang, KS 79086",+62-75-925-9569,9543227487836731,1,sms or WA,10,4700000,22300000,55227,21.0,79086,14,13,"Aceh, 21-05-1973",50,Cerai hidup,laki-laki
42,Caleb Pierce,"Gg. S. Parman No. 726
Kotamobagu, Jawa Tengah 01783",+62 (379) 928-6287,1059658779171579,4,sms or WA,6,5600000,9200000,33971,61.0,1783,11,20,"Papua, 21-07-1999",24,Cerai hidup,perempuan
43,Lisa Booth,"Gang Sukabumi No. 3
Batam, Sulawesi Selatan 74206",+62 (0150) 102-9360,3827221796557414,4,sms or WA,11,15500000,77400000,104382,20.0,74206,19,14,"Kalimantan Timur, 16-03-1999",24,Menikah,laki-laki
44,Joe Lowery,"Jl. Pelajar Pejuang No. 97
Kotamobagu, LA 13025",+62 (034) 026-9784,8946077011927391,1,sms or WA,8,19400000,46200000,70253,42.0,13025,8,10,"Sulawesi Selatan, 21-09-1990",33,Cerai hidup,laki-laki
45,George Thomas,"Gg. Sukajadi No. 82
Surakarta, Sulawesi Tengah 71653",+62-805-269-3010,8580984590014444,3,sms or WA,15,76500000,78700000,148085,97.0,71653,18,8,"Papua Barat, 17-10-1982",41,Cerai hidup,perempuan
46,Bobby Chen DDS,"Gang Veteran No. 252
Depok, DKI Jakarta 60572",+62 (039) 456 5421,9216209803774729,1,sms or WA,18,122200000,176600000,147573,69.0,60572,20,18,"Gorontalo, 02-10-1968",55,Menikah,perempuan
47,Alex Garcia,"Jl. H.J Maemunah No. 8
Binjai, SN 24883",+62 (0599) 019 3142,6953750429734460,1,sms or WA,10,8000000,21300000,89384,38.0,24883,8,13,"Nusa Tenggara Barat, 29-03-1990",33,Cerai hidup,perempuan
48,Dr. Lisa Armstrong,"Gang Tubagus Ismail No. 45
Kota Administrasi Jakarta Selatan, Kalimantan Utara 69821",+62-916-802-1713,9517920647710787,2,sms or WA,9,76400000,81700000,79350,94.0,69821,1,15,"Sumatera Utara, 09-06-1990",33,Cerai hidup,laki-laki
49,Teresa Lopez,"Jl. Ahmad Yani No. 23
Sukabumi, Sulawesi Utara 66992",+62 (0700) 551 3459,7099377690591137,2,sms or WA,12,23800000,78600000,78503,30.0,66992,14,16,"Kepulauan Riau, 02-04-1974",49,Menikah,perempuan
50,Gabrielle Ryan,"Gg. Kendalsari No. 2
Tidore Kepulauan, Kepulauan Bangka Belitung 70162",+62-23-185-4398,5651174410281250,1,sms or WA,13,6100000,7600000,139708,80.0,70162,2,7,"Banten, 15-10-1967",56,Menikah,laki-laki
51,William Vang,"Gang H.J Maemunah No. 49
Cirebon, BE 24080",+62 (864) 843-9230,1281173779797980,4,sms or WA,12,32100000,32600000,122566,98.0,24080,6,12,"Sumatera Selatan, 08-05-1976",47,Cerai mati,laki-laki
52,Joshua Little,"Jl. Tubagus Ismail No. 433
Mojokerto, Kalimantan Tengah 58797",+62-0372-226-9040,8467459514107183,1,sms or WA,16,78600000,120200000,81004,65.0,58797,15,18,"Sumatera Selatan, 09-03-1969",54,Cerai mati,perempuan
53,Anthony Williams,"Gg. Rajawali Barat No. 449
Pekalongan, Lampung 43852",+62 (69) 506 8767,7417317732957842,1,sms or WA,9,13100000,14300000,47153,92.0,43852,15,10,"Sumatera Barat, 24-09-1978",45,Cerai mati,laki-laki
54,Michelle Hill,"Gg. Kutisari Selatan No. 22
Tasikmalaya, BT 12374",+62 (04) 223 3165,8478584167001712,1,sms or WA,10,33200000,53400000,107516,62.0,12374,18,8,"Maluku Utara, 11-04-1994",29,Cerai hidup,perempuan
55,Joshua Arias,"Jl. Lembong No. 517
Jambi, Jawa Tengah 96597",+62 (326) 021-5314,5932857286836357,3,sms or WA,2,5600000,7000000,16480,80.0,96597,2,17,"Maluku, 17-10-1986",37,Belum menikah,perempuan
56,Alan Roach,"Jl. Setiabudhi No. 3
Makassar, Nusa Tenggara Timur 53223",+62 (099) 996-2292,4879012015325398,0,sms or WA,4,10300000,29200000,49061,35.0,53223,18,5,"Jawa Tengah, 10-10-1986",37,Cerai mati,laki-laki
57,Kevin Williams,"Gg. K.H. Wahid Hasyim No. 3
Serang, KR 86012",+62 (0394) 283 6416,9274942061994354,4,sms or WA,9,4000000,11400000,96687,35.0,86012,6,4,"Riau, 29-04-1970",53,Belum menikah,laki-laki
58,Gabrielle Martinez,"Gg. Asia Afrika No. 45
Palangkaraya, Kalimantan Timur 24200",+62 (095) 494 9689,7352384804761791,0,sms or WA,4,9900000,10900000,33923,91.0,24200,12,20,"Kepulauan Bangka Belitung, 16-12-1960",63,Belum menikah,laki-laki
59,Vincent Daniel,"Gang Medokan Ayu No. 3
Tangerang, Riau 07639",+62 (0661) 018-2441,8849693554250555,4,sms or WA,13,64400000,75100000,127680,86.0,7639,2,13,"Sulawesi Barat, 01-01-1966",57,Belum menikah,laki-laki
60,Christine Wells,"Jalan Dr. Djunjunan No. 26
Prabumulih, Papua Barat 02314",+62 (365) 832-4660,9636301797851221,4,sms or WA,5,25200000,37000000,36310,68.0,2314,17,19,"Aceh, 23-10-1982",41,Cerai mati,laki-laki
61,Mary Williams,"Gg. Raya Setiabudhi No. 61
Palangkaraya, NB 25857",+62 (99) 798 1159,9813300293254958,0,sms or WA,1,700000,5100000,13746,14.000000000000002,25857,4,6,"Nusa Tenggara Barat, 26-12-1972",51,Cerai hidup,perempuan
62,Corey Arnold,"Jalan Pasir Koja No. 773
Kupang, KB 30537",+62-49-028-3346,7093639865811828,2,sms or WA,19,74000000,173700000,105136,43.0,30537,1,13,"Nusa Tenggara Timur, 27-09-1972",51,Menikah,laki-laki
63,Mrs. Gabriella Joyce,"Gg. Tebet Barat Dalam No. 30
Salatiga, Sulawesi Barat 53809",+62 (012) 002 0456,4441657335333698,3,sms or WA,1,2000000,7600000,15242,26.0,53809,18,9,"Banten, 23-09-1976",47,Belum menikah,laki-laki
64,Gina Bailey,"Gang Setiabudhi No. 8
Kota Administrasi Jakarta Timur, Sumatera Selatan 18437",+62 (024) 137 1201,7174676601474007,3,sms or WA,4,29300000,35700000,32772,82.0,18437,19,11,"Kalimantan Tengah, 19-11-1990",33,Cerai hidup,perempuan
65,Renee Hamilton,"Gang HOS. Cokroaminoto No. 3
Sorong, SN 03348",+62 (94) 149 9589,6176422444128091,4,sms or WA,9,29500000,70300000,60258,42.0,3348,4,7,"Sulawesi Selatan, 10-02-1964",59,Menikah,perempuan
66,Paul Pollard,"Gang Ir. H. Djuanda No. 0
Sorong, KI 69836",+62 (539) 089 4387,9716050150090384,4,sms or WA,11,12200000,15600000,62020,78.0,69836,5,2,"Nusa Tenggara Timur, 09-12-1988",35,Belum menikah,laki-laki
67,Jill Clayton,"Jalan Jayawijaya No. 7
Palangkaraya, Bengkulu 74284",+62 (39) 288-0284,9154518607470912,0,sms or WA,18,26900000,102500000,141940,26.0,74284,13,11,"Maluku, 22-11-1994",29,Belum menikah,laki-laki
68,Alexandra Russell,"Gg. Sukabumi No. 65
Ternate, BA 68361",+62 (0519) 719 0362,5792071294779827,2,sms or WA,4,13400000,20500000,34950,65.0,68361,20,17,"Maluku, 29-07-1977",46,Menikah,laki-laki
69,Matthew Sullivan,"Gg. Rumah Sakit No. 779
Probolinggo, BT 84344",+62 (027) 471 0998,6142258632266344,0,sms or WA,1,3900000,3900000,13383,100.0,84344,10,11,"Kalimantan Barat, 26-11-1985",38,Cerai mati,perempuan
70,Courtney Gordon,"Jl. Gardujati No. 591
Palu, Sulawesi Utara 44757",+62 (21) 942 7829,5818132636113947,1,sms or WA,9,18700000,73700000,91362,25.0,44757,14,19,"Gorontalo, 08-12-1987",36,Belum menikah,laki-laki
71,Sharon Fitzgerald,"Gg. Otto Iskandardinata No. 8
Ternate, Kalimantan Barat 55227",+62 (0829) 580-0771,8758473623490347,2,sms or WA,15,20100000,45400000,125413,44.0,55227,18,15,"Papua, 25-05-1968",55,Cerai hidup,perempuan
72,Sarah Bates,"Gang Cikapayang No. 393
Pekalongan, Jambi 45867",+62 (30) 704-0335,9628895671817547,2,sms or WA,11,87600000,107800000,88236,81.0,45867,19,5,"Jawa Tengah, 07-10-1986",37,Belum menikah,perempuan
73,Jose Sanchez,"Jl. Ahmad Dahlan No. 705
Gorontalo, Nusa Tenggara Barat 80746",+62 (21) 712 8320,4310060279481235,0,sms or WA,7,29800000,63600000,42723,47.0,80746,11,4,"Papua Barat, 18-11-1974",49,Cerai mati,laki-laki
74,Michael Walker,"Gg. Erlangga No. 352
Meulaboh, Sulawesi Barat 91790",+62 (88) 844 1481,5670528475757780,3,sms or WA,7,21200000,41200000,50086,51.0,91790,7,18,"Sumatera Selatan, 26-11-1988",35,Cerai hidup,perempuan
75,Natasha Ward,"Jalan Sadang Serang No. 9
Bima, ST 47185",+62-61-192-6856,4420523240959647,4,sms or WA,5,4700000,16600000,34524,28.000000000000004,47185,19,5,"Sulawesi Barat, 19-12-1977",46,Menikah,perempuan
76,Brian Oneal,"Gg. Rajawali Timur No. 382
Samarinda, Sulawesi Utara 76190",+62 (018) 048 0521,9359880651022258,0,sms or WA,14,12000000,36100000,95667,33.0,76190,13,18,"Jawa Tengah, 15-02-1983",40,Cerai mati,laki-laki
77,Cynthia Smith,"Gg. Lembong No. 15
Palu, Sulawesi Tenggara 95010",+62 (01) 593-4867,8219943248086151,2,sms or WA,13,77400000,126500000,138110,61.0,95010,18,20,"Kalimantan Barat, 11-08-1983",40,Belum menikah,perempuan
78,Wanda Miranda,"Gg. KH Amin Jasuta No. 1
Palembang, KR 92175",+62-406-492-4839,7397371872736178,2,sms or WA,12,58100000,83100000,79555,70.0,92175,5,8,"Jawa Tengah, 14-08-1988",35,Cerai hidup,laki-laki
79,Jacob Ryan,"Gang M.H Thamrin No. 517
Bengkulu, JK 03675",+62-0027-181-9010,3492441726035764,2,sms or WA,8,9100000,13300000,87519,68.0,3675,8,7,"Maluku, 11-01-1974",49,Menikah,laki-laki
80,Stephanie Foster,"Jl. Jakarta No. 9
Kota Administrasi Jakarta Selatan, Riau 54837",+62 (17) 406 8373,1575883633000914,3,sms or WA,11,8800000,29800000,112202,30.0,54837,6,16,"Jawa Tengah, 18-07-1993",30,Belum menikah,perempuan
81,Stephanie Nichols,"Jl. Siliwangi No. 628
Pangkalpinang, Riau 29931",+62 (672) 037 5879,3035361447055699,1,sms or WA,7,10000000,22200000,77887,45.0,29931,7,10,"Sulawesi Tengah, 23-01-1967",56,Menikah,perempuan
82,Kenneth Johnson,"Jl. Pasir Koja No. 305
Kota Administrasi Jakarta Pusat, BB 02386",+62 (06) 460 1159,5316881394383269,2,sms or WA,9,35900000,74000000,57576,49.0,2386,11,16,"Banten, 02-12-1998",25,Belum menikah,perempuan
83,Zachary Ortiz,"Gg. Kendalsari No. 379
Singkawang, MU 22796",+62-336-719-6150,1540920361320570,3,sms or WA,16,13100000,149400000,91408,9.0,22796,4,20,"Kalimantan Barat, 21-08-1988",35,Cerai mati,perempuan
84,Richard Green MD,"Gg. Gegerkalong Hilir No. 42
Bau-Bau, Sulawesi Selatan 50580",+62 (060) 809 3898,5230239977931944,3,sms or WA,19,29500000,113500000,135961,26.0,50580,8,3,"Sumatera Barat, 06-10-1973",50,Cerai hidup,laki-laki
85,David Peck,"Jalan Kapten Muslihat No. 255
Kota Administrasi Jakarta Barat, Sulawesi Barat 42743",+62 (016) 980 5295,2501890964645981,3,sms or WA,18,25300000,30800000,141505,82.0,42743,10,6,"Kalimantan Selatan, 28-09-2000",23,Menikah,perempuan
86,Paul Carroll,"Gang Ir. H. Djuanda No. 0
Surakarta, Papua 29009",+62 (519) 920 2152,4910311864724481,1,sms or WA,9,22900000,27900000,71758,82.0,29009,4,12,"Aceh, 04-05-1966",57,Cerai mati,perempuan
87,Christine Burns,"Jalan Otto Iskandardinata No. 184
Kotamobagu, KR 79192",+62 (269) 294 7300,4167590258138917,4,sms or WA,11,25300000,68900000,76431,37.0,79192,16,9,"Sumatera Barat, 24-05-1974",49,Menikah,laki-laki
88,Kimberly Warner,"Gang Rajiman No. 733
Mojokerto, JK 63037",+62 (53) 381-3790,8032005903522470,2,sms or WA,6,47400000,53800000,63013,88.0,63037,14,2,"Bali, 08-11-1985",38,Cerai mati,perempuan
89,Deborah Watson,"Gang Dipatiukur No. 967
Palangkaraya, AC 19195",+62-672-762-1060,9952660173856324,1,sms or WA,2,4300000,10000000,14140,43.0,19195,1,16,"Sumatera Barat, 11-11-2000",23,Belum menikah,perempuan
90,Sydney Farley,"Gg. Dipatiukur No. 03
Langsa, Sulawesi Utara 43292",+62 (051) 022-3545,6610162290319751,4,sms or WA,8,5900000,31900000,66727,18.0,43292,13,18,"Sulawesi Tengah, 28-01-1970",53,Cerai hidup,laki-laki
91,Brandon Mcgee,"Jl. Siliwangi No. 977
Bontang, ST 65193",+62 (098) 666-8417,3537325717076179,4,sms or WA,4,4500000,32500000,38312,14.000000000000002,65193,8,18,"Bengkulu, 26-04-1969",54,Menikah,laki-laki
92,Jennifer Robbins,"Jl. Joyoboyo No. 2
Gorontalo, Jambi 56349",+62 (803) 528 7504,4188696916006798,0,sms or WA,13,38100000,110700000,137716,34.0,56349,17,20,"Kalimantan Selatan, 29-11-1985",38,Cerai mati,laki-laki
93,Ryan Lee,"Gang R.E Martadinata No. 5
Tangerang Selatan, SN 51236",+62 (051) 751-3094,9937591967351636,4,sms or WA,6,9400000,48500000,40404,19.0,51236,16,7,"Bali, 12-08-1983",40,Menikah,perempuan
94,William Hawkins,"Jalan W.R. Supratman No. 97
Pekalongan, KI 51914",+62 (85) 211 3328,9291600219863413,0,sms or WA,6,5700000,23400000,37941,24.0,51914,17,7,"Jawa Barat, 21-06-1982",41,Cerai mati,laki-laki
95,Brett Martinez,"Gg. Waringin No. 585
Makassar, Kepulauan Riau 53533",+62-20-974-2420,1407167687640806,1,sms or WA,4,30900000,34800000,43068,89.0,53533,10,2,"Kalimantan Selatan, 10-04-1968",55,Belum menikah,perempuan
96,Leroy Martinez,"Gg. Pacuan Kuda No. 6
Malang, SS 29588",+62 (050) 285 7973,8046153482321979,2,sms or WA,10,9900000,42200000,80525,23.0,29588,13,14,"Jawa Barat, 12-04-1960",63,Cerai hidup,laki-laki
97,Rachel Saunders,"Gang Surapati No. 1
Depok, NB 59047",+62 (70) 308-4714,8361208507525521,2,sms or WA,13,30800000,33800000,108861,91.0,59047,17,15,"Banten, 23-09-1979",44,Cerai hidup,perempuan
98,Brittany Huber,"Gang Jakarta No. 307
Pagaralam, Maluku Utara 90280",+62 (0092) 215 5278,3927121242597064,3,sms or WA,12,29200000,70400000,60195,41.0,90280,1,10,"Sumatera Barat, 04-09-1963",60,Menikah,laki-laki
99,Natasha Miller,"Gang Jend. A. Yani No. 406
Langsa, Jambi 18664",+62-005-294-2527,7146754122510664,1,sms or WA,19,45100000,78100000,165038,57.99999999999999,18664,13,1,"Papua, 13-01-1999",24,Menikah,laki-laki
100,Jessica Chang,"Jalan Rumah Sakit No. 82
Kupang, SR 64104",+62 (339) 860 4308,3985485756190989,2,sms or WA,16,11100000,87900000,126243,13.0,64104,11,16,"Sulawesi Selatan, 07-11-1997",26,Cerai mati,laki-laki
101,Steven Ryan,"Gg. Rungkut Industri No. 6
Kota Administrasi Jakarta Utara, AC 43482",+62-0495-700-6945,1779961906369786,2,sms or WA,10,20500000,70200000,64450,29.0,43482,3,1,"Jawa Barat, 10-08-1967",56,Belum menikah,perempuan
102,Michael Smith,"Gang Cikutra Barat No. 95
Bontang, Jawa Tengah 12389",+62 (31) 792 7563,1786390100873635,4,sms or WA,18,54700000,137200000,150251,40.0,12389,19,16,"Bengkulu, 03-12-1975",48,Menikah,laki-laki
103,Joshua Lopez,"Gg. Dipatiukur No. 42
Bukittinggi, JK 14036",+62 (112) 856 8848,7830982971699318,3,sms or WA,11,6700000,10200000,108165,66.0,14036,10,8,"Lampung, 05-07-1984",39,Belum menikah,perempuan
104,Katherine Garcia,"Jalan Laswi No. 229
Padang Sidempuan, KI 88066",+62 (46) 086-4828,5963334566772523,1,sms or WA,10,32000000,59300000,57606,54.0,88066,10,5,"Sumatera Utara, 15-10-1983",40,Cerai hidup,laki-laki
105,Heather Guerra,"Gang Jakarta No. 5
Tomohon, Nusa Tenggara Timur 54501",+62 (099) 190-8555,6065914690494705,1,sms or WA,2,3900000,6300000,19748,62.0,54501,19,15,"Sumatera Selatan, 05-06-1968",55,Cerai mati,laki-laki
106,Nicholas Brooks,"Jl. PHH. Mustofa No. 348
Pariaman, YO 31724",+62-059-019-2470,4838850815445206,3,sms or WA,11,8500000,12900000,92193,66.0,31724,20,16,"Jambi, 30-12-1967",56,Menikah,perempuan
107,Robert Gamble,"Gg. H.J Maemunah No. 2
Pasuruan, Maluku 94815",+62-46-868-4923,6817260630741459,3,sms or WA,5,13100000,30900000,43762,42.0,94815,13,19,"Sulawesi Tengah, 10-12-1961",62,Cerai hidup,perempuan
