,collector_name,collector_address,collector_number,collector_nik
19,Jacob Ryan,"Gang Asia Afrika No. 6
Tanjungpinang, JA 43447",(0059) 496 8235,3417821175789105
20,Jennifer Flores,"Gang Tubagus Ismail No. 809
Padangpanjang, ST 99703",+62-39-345-1132,1042005039576912
21,Tiffany Patton,"Gg. Kendalsari No. 93
Pariaman, GO 74532",+62 (205) 976-4257,5622657111802110
22,Ruth Perez,"Gang Soekarno Hatta No. 47
Bengkulu, JT 67640",(0900) 953 3785,7555275951341349
23,Brandon Martinez,"Jalan Lembong No. 97
Kotamobagu, Sulawesi Tenggara 18485",(0739) 407-5673,4008272473902366
24,Mario Sellers,"Jalan Sukajadi No. 322
Ternate, Kepulauan Bangka Belitung 08481",(021) 231 0578,7987921467861999
25,Michael Shepard,"Gg. Ciwastra No. 343
Ambon, Jawa Timur 55269",+62-089-468-2865,8841823994267868
26,Brittany Little,"Gg. Pelajar Pejuang No. 72
Surakarta, KU 42933",+62 (05) 377 0071,9557072117537397
27,Christopher Smith,"Gang Tubagus Ismail No. 5
Subulussalam, Lampung 16612",+62-33-882-8944,7490436963147247
28,Tamara Garcia,"Gg. Jend. Sudirman No. 43
Medan, GO 95416",+62-21-661-1174,3698086833935796
29,James Johnson,"Jalan S. Parman No. 23
Cilegon, KS 05587",+62 (941) 114-3562,7029290264261555
30,Nicholas Murray,"Gang BKR No. 20
Cilegon, Kalimantan Timur 21913",(0440) 961-3075,2984441260185225
31,Andre Gonzalez,"Jl. Raya Ujungberung No. 01
Madiun, NB 41016",(011) 191-4521,9480605744558801
32,Tammy Shaw,"Jalan Veteran No. 3
Bekasi, SS 52343",(0015) 586-8569,6487576493696584
33,Daniel Perry,"Gg. Peta No. 14
Subulussalam, Bali 83365",+62 (0193) 301-4415,3298450438933848
34,Brian Hamilton,"Gg. Kutai No. 62
Kendari, BA 31986",(044) 973-5161,6786824721867822
35,Cynthia Andrade,"Gg. Tebet Barat Dalam No. 33
Tomohon, Jawa Timur 46419",(0058) 382 1496,3235103427242732
36,Jessica Walker,"Jalan Kendalsari No. 48
Kota Administrasi Jakarta Barat, Riau 50261",+62 (014) 063-4556,5926714002912291
37,Michael Petersen,"Jl. Raya Setiabudhi No. 58
Kota Administrasi Jakarta Barat, Lampung 22814",+62 (0564) 684 1891,4500075834216422
38,Christine Simmons,"Jl. Pacuan Kuda No. 217
Kota Administrasi Jakarta Timur, Jawa Timur 23557",+62-039-746-2706,3920787518577190
39,Eric Phillips,"Gang Pasteur No. 213
Ternate, Aceh 50236",+62 (67) 225 9556,2752036052673256
40,Billy Kaiser,"Jalan Moch. Ramdan No. 31
Samarinda, KB 32648",+62-265-393-7363,1970528335944293
41,Jonathan Ferguson,"Jalan Suryakencana No. 477
Denpasar, Papua 22027",+62-0082-491-4465,7072670894450990
42,Kevin Shaw,"Jl. Pasirkoja No. 709
Banjarbaru, YO 06961",0856359230,7093868791357701
43,Bobby Chen DDS,"Gg. Jamika No. 110
Semarang, KS 79086",(040) 007 5925,6867769982565541
44,Emily Ford,"Jalan Sadang Serang No. 848
Palembang, KB 64240",(0016) 077-0652,9765727767509359
45,Monica Williams,"Jalan Suryakencana No. 8
Cirebon, SU 00766",+62 (0206) 415 0102,3538368504463170
46,Christopher Page,"Gg. Kutisari Selatan No. 00
Kota Administrasi Jakarta Utara, Lampung 04461",0862698489,1957113259507645
47,James Walker,"Jalan Jamika No. 97
Tasikmalaya, Papua Barat 71664",+62 (065) 338-0526,1162813280869590
48,Nathan Welch,"Jl. Kapten Muslihat No. 1
Makassar, Sumatera Barat 62252",(0213) 945 6542,6774399102876157
49,James Dean,"Gang Kutai No. 188
Binjai, Sulawesi Selatan 24883",+62 (093) 142-8037,4383597936463519
50,Steven Johnson,"Gang Setiabudhi No. 3
Tegal, KU 69821",+62-059-659-3916,5345794870169653
51,Brittany Huber,"Gg. Gedebage Selatan No. 403
Kendari, Sulawesi Barat 39177",+62 (0700) 551 3459,6804133227279159
52,Courtney Gordon,"Jl. Jayawijaya No. 92
Tidore Kepulauan, Kepulauan Bangka Belitung 70162",+62 (09) 720-9452,4749264959240826
53,Sarah Bates,"Gang Astana Anyar No. 318
Kota Administrasi Jakarta Timur, KI 07644",+62 (40) 809 5864,6848221729700243
54,Natalie Sexton,"Jl. Cihampelas No. 8
Makassar, BT 60433",+62 (879) 733-7222,6539178203832122
55,Lisa Yates,"Jalan Jayawijaya No. 12
Kotamobagu, MA 44908",+62 (92) 695 0687,9353633383467788
56,Colleen Carpenter,"Gang Medokan Ayu No. 3
Manado, NB 26051",+62 (0223) 316 5493,7241323482745997
57,Miguel Adkins,"Jl. Jend. Sudirman No. 17
Jambi, Jawa Tengah 96597",+62 (49) 653-2602,1088104681575912
58,Ashley Johnson,"Jl. Pasir Koja No. 2
Cilegon, Kalimantan Selatan 53655",(0729) 104-9554,1171783823284870
59,Monica Bright,"Gg. Laswi No. 082
Bima, JA 22926",+62 (36) 940-8601,9239542593593033
60,Tiffany Moore,"Gg. Jakarta No. 3
Kota Administrasi Jakarta Pusat, Gorontalo 48208",+62 (063) 124 2001,5608335910284048
61,Louis Chang,"Gang S. Parman No. 9
Surabaya, SU 78579",+62 (07) 639 4661,8449474050061200
62,Travis Hall,"Gg. Pasteur No. 023
Tasikmalaya, Jambi 52618",+62 (0536) 583 2466,5296483174702110
63,Jeffrey White,"Jalan Moch. Ramdan No. 9
Lubuklinggau, Kepulauan Bangka Belitung 14651",(0981) 159 5409,6447433369934087
64,Blake Johnson,"Jalan Yos Sudarso No. 31
Denpasar, MU 05370",+62-0460-915-2743,2932515471397048
65,Michael Chan,"Gang Raya Ujungberung No. 3
Solok, DI Yogyakarta 20020",+62 (0755) 804-8518,4026631686038195
66,Jennifer Mullins,"Jalan K.H. Wahid Hasyim No. 13
Sorong, YO 01642",+62 (03) 348-7324,5859509833543957
67,Sean Ortiz,"Gang Erlangga No. 7
Pekanbaru, GO 70629",089 561 4942,6767300846593710
68,James Lee,"Jl. H.J Maemunah No. 98
Yogyakarta, Riau 14047",(0553) 908 9438,1862315862570746
69,Jacqueline Smith,"Jl. Surapati No. 1
Tanjungpinang, KU 04742",0880284484,8752293133855261
70,Bobby Lynn,"Gang W.R. Supratman No. 55
Bogor, Sulawesi Selatan 61451",+62 (53) 175-1779,2496948850547662
71,Richard Watkins,"Gang Pacuan Kuda No. 49
Bontang, SB 71099",+62-12-591-3775,9995811025012636
72,Nicholas Tran,"Gang Ronggowarsito No. 219
Tomohon, JT 82959",+62 (068) 849 9275,4779349278630936
73,Xavier Bailey,"Gg. Rajawali Barat No. 2
Ternate, SU 07712",0840239328,5113037554628192
74,Jennifer Rivers,"Gang M.T Haryono No. 77
Meulaboh, Gorontalo 17245",+62-70-403-3562,2152418467220378
75,Anthony Williams,"Jl. H.J Maemunah No. 05
Gorontalo, Nusa Tenggara Barat 80746",+62 (028) 320-8904,6185857060440499
76,Ryan West,"Jalan Pacuan Kuda No. 27
Padangpanjang, Sulawesi Utara 79085",(0028) 884-4148,4491591793320046
77,Briana Church,"Gang Sentot Alibasa No. 1
Sibolga, Sulawesi Tenggara 72471",+62 (010) 909 9106,7405355416170017
78,Stephen Lee,"Gg. M.T Haryono No. 69
Cilegon, Jawa Tengah 64038",+62-076-190-1180,6996590507288065
79,Lisa Maddox,"Jalan Gardujati No. 832
Tangerang Selatan, MU 71577",+62 (01) 593-4867,2286444593980158
80,Ryan Williams,"Jl. Rajawali Timur No. 8
Langsa, Sulawesi Tengah 19217",+62 (68) 011-0863,3887485617950904
81,Kelly Medina,"Gang Kendalsari No. 483
Tarakan, ST 84482",+62-110-036-7578,4838421363678776
82,Emily Mendez,"Jalan Merdeka No. 030
Pangkalpinang, DI Yogyakarta 90102",0898146354,3781890001332524
83,Elizabeth Thomas,"Jl. Rawamangun No. 06
Yogyakarta, Sulawesi Tenggara 99721",+62 (87) 786 2299,8004175040997005
84,Douglas Bishop,"Gang Cikutra Barat No. 4
Lhokseumawe, Kepulauan Riau 65672",+62 (879) 072-1242,9257951252240003
85,Bradley Norris,"Gang Pasir Koja No. 4
Tegal, Bali 38620",+62 (059) 926 1179,3720436888148182
86,Lisa Evans,"Jalan Kendalsari No. 22
Palopo, Riau 38979",+62-336-719-6150,9943989755141218
87,Tyler Wallace,"Jalan Rajiman No. 642
Bau-Bau, SN 50580",080 938 9832,4517156337244213
88,Angela Cervantes,"Jl. Jakarta No. 56
Tanjungbalai, SR 42743",+62 (212) 501-6980,5236088506184090
89,Debbie Parker,"Jalan Abdul Muis No. 6
Pekanbaru, KR 05552",+62 (519) 920 2152,6053179934442757
90,Tiffany Hartman,"Gg. Gedebage Selatan No. 3
Sabang, BB 44999",+62 (52) 692-9473,4658533187398944
91,Brian Oneal,"Gg. Jend. Sudirman No. 57
Palopo, Kalimantan Selatan 76146",+62-776-054-0265,7957375403511899
92,Troy Cole,"Jalan KH Amin Jasuta No. 813
Sibolga, BT 74551",+62 (607) 191 9593,9106444538312421
93,Colleen Oconnell,"Gg. Sukabumi No. 106
Palembang, KI 05170",(043) 292 1510,5230205641392029
94,Aaron Gonzalez,"Gg. Rajawali Barat No. 06
Kediri, Jambi 39776",(0806) 519 3809,4286333426103561
95,Jason Bernard,"Jalan Stasiun Wonokromo No. 7
Singkawang, SS 66841",+62 (53) 198 5563,6228807874858785
96,Tanya Ortiz,"Jl. Medokan Ayu No. 28
Sungai Penuh, NB 40969",(0851) 635-1236,8371261977044524
97,Natalie Decker,"Jalan Ciwastra No. 40
Bekasi, PA 51751",(049) 526-7971,3004993726754435
98,Sandra Duran,"Jalan Kutai No. 428
Cilegon, DKI Jakarta 33283",+62 (067) 158 5554,3625441184614076
99,Christopher Butler,"Gg. Laswi No. 641
Lubuklinggau, SR 58702",+62 (700) 209-7424,9690831127632269
100,Paul Moore,"Gg. Jend. A. Yani No. 0
Kota Administrasi Jakarta Barat, Riau 58129",+62 (0658) 991 6730,2865035898148100
101,Nicholas Williams,"Jalan Ronggowarsito No. 4
Lhokseumawe, YO 19845",(044) 415 0285,6760114272797132
102,Aaron Smith,"Jl. M.H Thamrin No. 5
Kota Administrasi Jakarta Timur, LA 16398",+62 (0727) 030-8471,4613552576685759
103,Patrick Adams,"Gg. Rumah Sakit No. 7
Kediri, KT 76658",0804092215,5178490392454672
104,Jonathan Howard,"Gang Dipenogoro No. 542
Lhokseumawe, BT 14141",(0000) 378 9395,8112912192564727
105,Austin King,"Gg. BKR No. 529
Tarakan, Jawa Tengah 27665",+62 (0683) 641-0453,1891487901621875
106,Bruce Barnes,"Gg. Lembong No. 0
Tanjungpinang, Maluku Utara 80799",+62-0482-699-0082,2087491183660602
107,Dr. Lee Torres,"Gg. Wonoayu No. 70
Padang, Lampung 01466",+62 (962) 261-2389,3045931944853121
108,Clarence Hughes,"Gg. Kendalsari No. 756
Purwokerto, Lampung 11717",+62 (097) 140 3651,9559877476541462
109,Tracy Hernandez,"Gang Stasiun Wonokromo No. 8
Tegal, Sumatera Utara 27233",+62-0288-066-8964,5051640005038605
110,Pamela Frost,"Gg. Astana Anyar No. 29
Kendari, NB 72460",+62 (0552) 539-5935,1126457612335179
111,Madeline Davis,"Jl. Gardujati No. 9
Singkawang, AC 55166",+62 (0857) 103 1724,9017749653891813
112,Todd Lozano,"Jalan Setiabudhi No. 3
Sungai Penuh, NB 14617",+62 (092) 470-7939,8532862682766056
113,Gabrielle Casey,"Jalan Rungkut Industri No. 5
Langsa, Sulawesi Barat 81504",+62-0126-228-9384,1463640695458844
114,Jennifer Rogers,"Gang Moch. Toha No. 2
Sabang, BB 33413",+62 (209) 697 9572,9347118508641640
115,Joshua Smith,"Gang K.H. Wahid Hasyim No. 7
Bontang, PB 66084",+62 (687) 821 0237,6106051385068569
116,Zachary Russell,"Jalan Cikapayang No. 23
Sibolga, MU 81535",+62 (0532) 787-2782,8624549441660995
117,Kevin Rice,"Gg. Sukajadi No. 08
Cilegon, Kepulauan Riau 93339",+62-0195-237-0793,3602438956294655
118,Kim Smith,"Gg. Cikutra Barat No. 87
Metro, SR 85800",(022) 033 2155,6683985424367896
119,Dennis Ward,"Gg. Sentot Alibasa No. 017
Kota Administrasi Jakarta Timur, DI Yogyakarta 00436",(047) 744-7272,9244415171411401
120,Mrs. Bianca Houston,"Jl. Suniaraja No. 3
Pagaralam, JT 08162",(0200) 921-3184,8651014061380344
121,Jason Chen,"Jl. S. Parman No. 75
Purwokerto, AC 65346",+62 (081) 200 5049,5945907571333549
122,Dana Gutierrez,"Gg. Kendalsari No. 86
Samarinda, SS 84649",+62 (832) 867-1437,4842754087036395
123,Timothy Liu,"Gg. HOS. Cokroaminoto No. 4
Bukittinggi, Kalimantan Timur 00583",(0903) 657-0153,5414515174319470
124,Christine Burton,"Jalan Cihampelas No. 419
Ambon, Kalimantan Selatan 95108",(039) 792 4356,8665286592088007
125,Christian Lewis,"Gg. K.H. Wahid Hasyim No. 467
Bima, BB 09598",+62-02-101-5153,9479400247019232
126,Lisa Harper,"Jl. Waringin No. 3
Lhokseumawe, Nusa Tenggara Barat 38595",+62 (0481) 160 9626,5555504826961283
127,Kevin English,"Gg. Pelajar Pejuang No. 70
Batu, JB 66395",+62 (0288) 177-6703,2176900357327832
128,David Peck,"Jalan M.H Thamrin No. 26
Sibolga, Jawa Timur 90114",+62 (00) 301-5027,4197284609345621
129,Joe Lowery,"Gg. Medokan Ayu No. 513
Surabaya, Nusa Tenggara Timur 82027",+62 (520) 930-3274,5240548939303747
130,Emily Cook,"Jl. Setiabudhi No. 5
Tidore Kepulauan, JI 11084",+62 (479) 842 3745,8077135184828279
131,Andrew Warren,"Jl. Ronggowarsito No. 38
Tangerang Selatan, Bengkulu 80088",+62 (41) 508 0785,7118508829698882
132,David Carey,"Gang Peta No. 4
Prabumulih, MA 23826",+62 (126) 706 1197,7038686240184918
133,Bobby Williams,"Gang HOS. Cokroaminoto No. 3
Kota Administrasi Jakarta Barat, JI 04976",+62 (0820) 448 4053,2756797021516151
134,Danielle Adams,"Gg. Dipenogoro No. 2
Kupang, BE 49785",+62-019-693-4233,6922749075847225
135,Monique Cordova,"Jl. Soekarno Hatta No. 6
Lubuklinggau, AC 52062",+62 (46) 045-3999,5026165366859086
136,Gregory Smith,"Jl. Astana Anyar No. 50
Tangerang Selatan, BE 59605",+62 (078) 109 2767,4939295377370427
137,Maxwell Morgan,"Gg. H.J Maemunah No. 5
Bandung, Papua 32137",+62 (097) 354 1268,5656867623241928
138,Eric Hooper,"Gang Sentot Alibasa No. 01
Padang, Lampung 46192",+62 (0874) 198 5697,4110070608725415
139,Stacy Austin,"Jl. Ahmad Dahlan No. 783
Mataram, Maluku Utara 36287",(015) 407-2968,2620653953383748
140,Maria Davis,"Gang Sukabumi No. 281
Blitar, NB 90500",089 259 7679,2174532437667952
141,Trevor Tran,"Gg. Rajawali Barat No. 92
Depok, SN 47205",+62 (072) 950 7648,5803419852505124
142,Kristin Kline,"Jl. HOS. Cokroaminoto No. 24
Bima, Jawa Timur 70543",+62 (46) 932 5547,6663746049342680
143,Christopher Robinson,"Gang M.H Thamrin No. 7
Makassar, JK 99597",+62 (045) 763 6488,3501727089740932
144,Linda Moreno,"Gg. Soekarno Hatta No. 5
Palopo, BB 12590",+62 (27) 206-0270,1143187428365658
145,Jeff Roberts,"Jl. Sentot Alibasa No. 2
Samarinda, Lampung 99029",+62 (010) 602 8033,2921843689776895
146,Troy Lloyd,"Gg. Jend. Sudirman No. 168
Sorong, GO 09946",+62-0018-388-1853,9425392707609098
147,Jacqueline Massey,"Jl. Veteran No. 75
Banjarmasin, JA 95582",+62 (57) 893 7933,7724932740971517
148,Cynthia Moses,"Gang Raya Ujungberung No. 905
Prabumulih, Nusa Tenggara Barat 80615",(0534) 154-6423,8313517740270541
149,Amy Garcia,"Gg. M.H Thamrin No. 401
Madiun, RI 71573",081 286 0830,5901560934984002
150,Michael Moore,"Jalan Jakarta No. 48
Bitung, SS 14275",(0520) 120-2273,7609904504585878
151,Andrew Kim,"Jl. Kebonjati No. 436
Tegal, DI Yogyakarta 77105",(096) 163-7077,9829180421584276
152,Justin White,"Gang Bangka Raya No. 106
Cirebon, Maluku Utara 22479",(077) 946-3170,4644235075377508
153,Lori Foster,"Gg. Laswi No. 10
Kediri, SS 91619",+62 (075) 499 7350,5115162297178171
154,Leslie Daniels,"Jl. Indragiri No. 46
Surakarta, PB 73255",+62-060-094-4565,2987135844014418
155,Eric Love,"Gg. Siliwangi No. 0
Palopo, Nusa Tenggara Timur 24679",(0918) 885-6274,2603514009481502
156,Brian Barnes,"Gg. Gegerkalong Hilir No. 96
Dumai, BE 15025",(0308) 217-5557,9492378195605909
157,Charles Sanchez DVM,"Jl. Asia Afrika No. 1
Bima, Maluku Utara 75198",+62 (067) 438-3054,8763336053434729
158,Jessica Chang,"Gang Moch. Ramdan No. 49
Bandung, Bengkulu 81889",(0459) 234-5109,2876443955973214
159,Christina Dunn,"Gg. Raya Ujungberung No. 1
Jambi, DKI Jakarta 71235",+62 (134) 033-5560,1023694461514120
160,Larry Herrera,"Jalan Yos Sudarso No. 55
Tual, Kalimantan Selatan 41334",+62-0185-729-7662,5726754701252667
161,Jose Sanchez,"Jalan Pasteur No. 48
Pangkalpinang, Kepulauan Bangka Belitung 60799",+62-146-338-4175,8823122753946806
162,Virginia Drake,"Jl. Rajawali Barat No. 3
Gorontalo, Riau 72595",+62 (442) 463 3553,6807160952727651
163,Kyle Arnold,"Gang R.E Martadinata No. 400
Sabang, Kalimantan Timur 93640",(062) 452-5919,1248327327295076
164,Diane Davis,"Jl. K.H. Wahid Hasyim No. 15
Batam, KR 03513",+62 (613) 894 4007,4709831164094966
165,Gerald Cameron,"Gg. Cikutra Barat No. 1
Banda Aceh, KS 38050",+62 (905) 523-1251,4355312716955537
166,Linda Hodges,"Gg. Medokan Ayu No. 512
Bukittinggi, BT 43274",0896038041,8252792136804593
167,Don Graham,"Jl. Gegerkalong Hilir No. 9
Kota Administrasi Jakarta Selatan, Kalimantan Selatan 84253",+62 (0114) 183 0209,4557478193474215
168,Erica Poole,"Jl. Laswi No. 2
Pariaman, Gorontalo 38251",+62 (0368) 326-0930,7169386859935129
169,David Hicks,"Gg. H.J Maemunah No. 4
Tanjungpinang, ST 65671",+62 (048) 416-1861,4221192284658646
170,Heather Stewart,"Jalan PHH. Mustofa No. 322
Palangkaraya, Bengkulu 20014",(054) 510-2537,1278559978291538
171,Tiffany Pope,"Gang Peta No. 9
Sabang, Lampung 44393",+62 (055) 357-2916,9170846387280057
172,Danielle Salazar,"Jl. Erlangga No. 37
Sungai Penuh, JB 38270",+62-0798-592-2111,8117391419883041
173,Elizabeth Fox,"Jl. Kiaracondong No. 200
Metro, JB 35891",+62 (0445) 078-0798,7678942176599882
174,Thomas Caldwell,"Jl. Ir. H. Djuanda No. 24
Madiun, Jawa Timur 93801",+62 (319) 331-8710,7754863454270471
175,Ruth Farmer,"Gang Erlangga No. 0
Medan, JA 91438",+62 (0527) 875-1517,8737753563149608
176,Leroy Martinez,"Jl. Ciwastra No. 15
Gorontalo, Jawa Tengah 56344",+62 (0947) 107-4306,2219043832964202
177,Jacqueline Rose,"Jalan Kutisari Selatan No. 95
Palopo, Sumatera Utara 80816",(0836) 965-8040,1227010636245652
178,Elizabeth Lopez,"Gg. Rajawali Barat No. 56
Tanjungpinang, Maluku Utara 10042",+62 (003) 740-3629,6893992002987646
179,Donna Valenzuela,"Gg. Merdeka No. 55
Gorontalo, Nusa Tenggara Barat 92994",+62 (076) 787-1893,4255342035362762
180,Caitlin Hoffman,"Jl. HOS. Cokroaminoto No. 5
Kota Administrasi Jakarta Selatan, Sumatera Utara 70996",+62 (076) 896 2413,4439049834215761
181,Marilyn Bowman,"Gg. Suryakencana No. 1
Mojokerto, Kalimantan Timur 04047",+62 (116) 646 9075,2796848722836775
182,Jeffrey Morton,"Gang Rajiman No. 10
Padangpanjang, RI 37582",+62-48-908-1015,6221557210269591
183,Michael Parker,"Jl. Raya Ujungberung No. 08
Tasikmalaya, Kalimantan Selatan 49438",+62 (0033) 014 1792,4665360465766776
184,Roy Wood,"Jalan Sukabumi No. 035
Jayapura, AC 47751",(092) 299-0822,4499863358202205
185,Dr. Eric Hayden MD,"Gg. Antapani Lama No. 38
Dumai, KT 74934",+62-675-512-6863,2501858811298580
186,Amy Levine,"Jl. Pasir Koja No. 922
Solok, Nusa Tenggara Timur 82744",+62 (002) 832-7932,6874782858788265
187,Jon Rivers,"Jl. Ir. H. Djuanda No. 002
Dumai, MA 24232",+62-21-553-5446,2836625163395833
188,Alexander Rogers,"Jalan Rumah Sakit No. 93
Lubuklinggau, GO 86873",(074) 615 6606,1988971285113329
189,Andrew Marks,"Jl. W.R. Supratman No. 88
Banjarbaru, BB 02924",+62-45-460-0448,4746075699055883
190,Michelle Davidson,"Gang Gardujati No. 889
Sawahlunto, Sumatera Utara 95562",+62 (076) 849-2025,5854865192044504
191,Kelly Turner,"Gang Gardujati No. 314
Kota Administrasi Jakarta Utara, Sulawesi Tengah 59864",+62-084-693-0237,3871153759227052
192,Phyllis James,"Gg. Monginsidi No. 2
Semarang, KB 89832",+62-0639-541-5530,6893850025851054
193,Gary Robinson,"Gang Sentot Alibasa No. 0
Surabaya, JB 25078",+62 (064) 200 4270,1155100247778793
194,Sandra Parker,"Jl. Pelajar Pejuang No. 9
Kendari, JK 16118",(064) 153 3400,8391915909727913
195,Jonathan Campos,"Gang Surapati No. 436
Padang, RI 83359",+62 (0710) 735-6922,5793377285370771
196,Peter Brooks,"Gang Pelajar Pejuang No. 55
Palembang, Bengkulu 73988",+62 (0023) 455 3053,8943202385845015
197,Robert Robbins,"Gg. Gedebage Selatan No. 357
Jayapura, SR 66651",+62-984-661-9913,1054303315531156
198,Michael Collins,"Jl. Ciumbuleuit No. 6
Dumai, MA 31615",+62-0632-721-3676,2043044307146065
199,Mary Cunningham,"Jalan Medokan Ayu No. 26
Tasikmalaya, Papua Barat 34686",(064) 041 4443,2373380194099925
200,Mark Sanchez,"Jl. Pasteur No. 831
Lubuklinggau, Bengkulu 03279",+62 (0441) 210 3594,2410314750604020
201,Kristina Avila,"Gg. PHH. Mustofa No. 88
Batu, PA 06969",+62-090-734-3806,2261407289710701
202,Bruce Cook,"Gg. Astana Anyar No. 402
Banjar, JK 69669",+62-0511-119-5990,1983050085223665
203,James Obrien,"Jalan Gegerkalong Hilir No. 1
Bau-Bau, Kepulauan Riau 40887",+62 (40) 868-4441,8858711657351932
204,Ashley Estrada,"Gang Rawamangun No. 23
Bogor, Sumatera Selatan 76858",+62 (83) 385 1958,2133687017271297
205,Perry Villarreal,"Jalan Otto Iskandardinata No. 08
Kota Administrasi Jakarta Barat, JT 12761",+62 (0183) 088-7069,4975024084513204
206,Hannah Bailey,"Gang Yos Sudarso No. 311
Batu, DKI Jakarta 43150",+62-0622-530-5462,2967809678617670
207,Sarah Wilson,"Gang Ronggowarsito No. 6
Tangerang Selatan, Kepulauan Riau 16838",(0634) 723-6393,3043532793048358
208,Shannon Frank,"Gang Cihampelas No. 0
Semarang, Papua Barat 54979",0893871984,9813016705042633
209,Christopher Williams,"Jl. Bangka Raya No. 57
Padangpanjang, Sulawesi Utara 68735",+62-000-226-5676,3942523173415967
210,Ryan Carroll,"Gang Tebet Barat Dalam No. 56
Palu, SU 54095",(016) 769-9383,5293556079525047
211,Christopher Garcia,"Jl. Surapati No. 4
Palopo, Jawa Barat 83828",+62-659-084-9527,6550800244561492
212,Chad Rodriguez,"Gang Tubagus Ismail No. 9
Sabang, JK 54123",083 303 3103,7923996412033884
213,Brittney Smith,"Jl. Suryakencana No. 175
Kendari, JB 42590",+62 (005) 986 5799,9397728059738149
214,Richard Wade,"Jalan Raya Setiabudhi No. 144
Depok, JB 97471",+62 (0156) 631 9848,4731423522975642
215,Troy Dalton,"Gang KH Amin Jasuta No. 762
Sorong, JB 12560",+62-083-924-9491,4102803159716016
216,Stephen Smith,"Gang Pasteur No. 39
Payakumbuh, Banten 43123",+62 (434) 816 9544,5899467956646951
217,Caleb Pierce,"Jalan K.H. Wahid Hasyim No. 11
Lhokseumawe, PB 61739",083 846 1910,7096908592520092
218,Colleen Lawrence,"Jl. Pasirkoja No. 26
Probolinggo, SB 69772",+62 (729) 185 4021,5396189409427677
219,Amy Jackson,"Gang HOS. Cokroaminoto No. 51
Depok, Sulawesi Utara 10735",+62 (23) 448-3293,7091669143478476
220,Abigail Phillips,"Gg. Astana Anyar No. 261
Jayapura, KB 75602",+62-0865-271-7846,8885606931530552
221,Kevin Smith,"Gg. Cikapayang No. 7
Kota Administrasi Jakarta Selatan, Jawa Timur 02500",(0217) 370-3941,4769976313547920
222,Larry Ball,"Gang Jend. Sudirman No. 4
Medan, BT 53246",+62-027-424-7842,2475288826986128
223,Lucas Clark,"Jalan Ciwastra No. 3
Padangpanjang, SN 00907",(0128) 922 0330,8684142285275009
224,Mary Burton,"Gang Peta No. 161
Sukabumi, JA 96727",+62-080-952-3426,4817356483389910
225,Joe Good,"Jalan Joyoboyo No. 8
Denpasar, YO 55797",+62-765-262-1554,6342330867514387
226,Mary Duran,"Jalan Setiabudhi No. 23
Cilegon, DI Yogyakarta 17944",(005) 643 3643,9745506949928834
227,Eric Mccann,"Gang Gardujati No. 29
Sungai Penuh, MA 93394",+62 (65) 457-3252,7122792159090938
228,Casey Schmidt,"Gg. Kiaracondong No. 0
Pematangsiantar, Lampung 31711",+62 (073) 044-1499,2609446639345446
