,debtor_name,debtor_nik,debtor_address,debtor_number,debtor_company,debtor_gender,debtor_education_level,employment_type,number_of_dependents,net_income,payment_date,loan_amount,avg_amounts_previous_bills,avg_previous_payment,amount_of_late,late_payment_amount,credit_risk,credit_score,arrears_amounts,aset,loss_reverse,payment1,payment2,payment3,payment4,payment5,payment6,payment7,payment8,payment9,payment10,payment11,payment12,bil1_late1,bill_late2,bill_late3,bill_late4,bill_late5,bill_late6,bill_late7,bill_late8,bill_late9,bill_late10,bill_late11,bill_late12,arrears1,arrears2,arrears3,arrears4,arrears5,arrears6,arrears7,arrears8,arrears9,arrears10,arrears11,arrears12,aging,debtor_zip,debtor_rt,debtor_rw,debtor_birth_place,debtor_age,debtor_occupation,debtor_marital_status
12,Erin Torres,5598626962629424,"Jalan Rungkut Industri No. 8
Tegal, JA 44314",+62 (012) 154-6134,UD King (Persero) Tbk,perempuan,S3,Retired,3,18000000.0,2023-04-07,17375000.0,19500000,10050000,136,9,Tidak tertagih,296,3,7500000,52125000.0,6000000,9000000,19500000,4500000,29500000,16500000,25500000,27000000,15500000,21000000,25500000,9000000,12,10,8,18,22,19,9,23,15,0,0,0,0,0,0,1,2,3,0,1,2,0,0,0,Diragukan,44314,16,1,"Gorontalo, 14-01-1996",27,Pengusaha,Cerai hidup
13,Joseph Dennis,8491452008976658,"Jl. Cihampelas No. 2
Cilegon, SB 51464",+62-584-427-4157,CV Duke Mcdonald (Persero) Tbk,perempuan,D1,Contract,3,5500000.0,2023-07-04,14416666.666666666,6000000,4500000,49,3,Tertagih,363,1,6000000,14416666.666666666,10500000,19500000,15500000,16500000,10500000,17000000,14000000,11000000,18500000,18500000,11500000,10000000,0,0,0,20,0,0,0,6,23,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,DPK,51464,6,4,"Jawa Timur, 12-03-1984",39,Pegawai Negeri,Cerai hidup
14,Monica Clark,6519783830018533,"Gang Sentot Alibasa No. 05
Bengkulu, NB 73191",+62 (077) 011 2348,CV Martinez (Persero) Tbk,laki-laki,S1,Retired,2,18000000.0,2023-05-02,16416666.666666666,13000000,11700000,104,9,Tidak tertagih,265,2,3000000,32833333.33333333,28000000,3500000,17500000,28000000,18000000,28000000,22000000,17000000,9000000,6000000,11500000,8500000,2,20,0,11,17,21,0,5,19,0,7,2,0,1,0,0,1,2,0,0,1,0,0,0,Kurang lancar,73191,15,5,"Sumatera Barat, 19-07-1982",41,Profesional,Belum menikah
15,Christina Martinez,8307533325175556,"Gang Peta No. 14
Kediri, Sulawesi Utara 93194",+62 (12) 216 0291,CV Estrada Butler,perempuan,S1,Retired,2,18000000.0,2023-01-26,19541666.666666668,18000000,16600000,32,3,Tertagih,668,0,8500000,0.0,10500000,29500000,12500000,28500000,21000000,17500000,9500000,15500000,29500000,26500000,25500000,8500000,0,0,0,0,0,0,9,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DPK,93194,3,12,"Kalimantan Timur, 24-11-1986",37,Pegawai Swasta,Cerai hidup
16,Deanna Johnson,6995455020623855,"Gang Rajawali Barat No. 8
Prabumulih, Sulawesi Utara 61402",+62-0899-038-9058,UD Wilson,perempuan,S2,Full-time,4,19000000.0,2023-09-18,14875000.0,18500000,10250000,109,6,Tidak tertagih,290,3,3500000,44625000.0,28000000,11000000,6000000,19000000,10000000,3500000,16500000,15000000,4000000,26000000,20000000,19500000,23,19,15,0,0,27,0,18,0,0,0,7,1,2,3,0,0,1,0,1,0,0,0,0,Kurang lancar,61402,11,11,"Sulawesi Utara, 01-09-1989",34,Pengusaha,Menikah
17,Andrew Hardy,7259575002803866,"Jalan M.T Haryono No. 6
Tarakan, Riau 13085",+62-0359-965-5201,PD Ward Jarvis,perempuan,D1,Retired,5,10500000.0,2023-05-24,15083333.333333334,8000000,6200000,152,8,Tidak tertagih,261,1,4000000,15083333.333333334,10500000,13000000,19500000,11000000,15000000,14000000,15500000,12500000,15000000,18500000,19500000,17000000,30,0,28,0,0,25,6,16,0,6,29,12,1,0,1,0,0,1,0,1,0,0,1,0,Diragukan,13085,9,20,"DI Yogyakarta, 29-10-1992",31,Buruh,Cerai mati
18,Judy George,6940394517809409,"Jl. Rajiman No. 414
Pagaralam, JA 08153",+62-745-735-6380,Perum Ritter Myers (Persero) Tbk,perempuan,D2,Retired,4,10500000.0,2023-03-21,15291666.666666666,7500000,6950000,77,8,Tidak tertagih,371,1,5500000,15291666.666666666,10000000,10000000,17000000,19000000,18000000,10500000,11500000,17500000,16500000,18000000,17500000,18000000,0,6,7,30,8,3,17,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,DPK,08153,18,13,"Jawa Barat, 19-08-1992",31,Buruh,Menikah
19,Dana Riddle,7192546235788749,"Jalan Peta No. 049
Banjar, Sulawesi Barat 47549",+62-190-359-8171,CV Bender,laki-laki,D1,Retired,5,18500000.0,2023-01-19,19416666.666666668,13500000,7450000,98,6,Tidak tertagih,183,2,10500000,38833333.333333336,25500000,22000000,24000000,22500000,28500000,17500000,12000000,2000000,28500000,10000000,12000000,28500000,0,0,0,14,0,18,23,0,6,14,0,23,0,0,0,0,0,1,2,0,0,0,0,1,Kurang lancar,47549,7,15,"Lampung, 16-03-1986",37,Pengusaha,Menikah
20,Julie Brown,9438851033284314,"Jalan Stasiun Wonokromo No. 42
Singkawang, SR 62359",+62 (001) 014-9445,PD Fowler,perempuan,S2,Retired,4,14000000.0,2023-09-07,15750000.0,18000000,10600000,27,2,Tidak tertagih,424,1,4500000,15750000.0,14500000,14500000,12500000,18000000,18000000,12500000,10000000,19500000,19500000,17500000,13000000,19500000,0,0,0,0,2,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,1,0,DPK,62359,3,7,"Sumatera Utara, 23-02-1969",54,Pengusaha,Belum menikah
21,Alison Ruiz,5854193630099235,"Jl. Rajawali Timur No. 93
Tanjungbalai, Kalimantan Barat 84835",+62-75-890-8577,CV Melton Tbk,perempuan,D2,Retired,5,10500000.0,2023-08-11,16291666.666666666,14500000,9750000,44,2,Tidak tertagih,380,1,8000000,16291666.666666666,14500000,14500000,18000000,15500000,18500000,16000000,18000000,19000000,13500000,15000000,16500000,16500000,0,22,0,22,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,DPK,84835,13,17,"Bengkulu, 03-07-1964",59,Pegawai Swasta,Cerai mati
22,Susan Martinez,2250289894977270,"Gg. Antapani Lama No. 3
Pekalongan, Sulawesi Utara 68254",+62 (055) 808 2792,PT Herman Walker,perempuan,S1,Retired,2,13000000.0,2023-07-10,13833333.333333334,17000000,8800000,76,4,Tertagih,316,1,4500000,13833333.333333334,14500000,16500000,11000000,11500000,19000000,11500000,12000000,14500000,19000000,11000000,14500000,11000000,14,0,0,0,0,11,0,0,0,29,0,22,0,0,0,0,0,0,0,0,0,1,0,1,DPK,68254,4,10,"Riau, 26-09-1998",25,Pegawai Negeri,Cerai hidup
23,Max Jenkins,7095333784589710,"Gang Rajawali Timur No. 125
Sabang, Sulawesi Selatan 58291",+62 (75) 983-1929,UD Davidson Tbk,laki-laki,S2,Retired,4,13000000.0,2023-03-30,12250000.0,14000000,13600000,39,2,Tertagih,488,1,9000000,12250000.0,12500000,13000000,11500000,11500000,15500000,10000000,17000000,10000000,10000000,11500000,11500000,13000000,0,20,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0,0,1,0,0,DPK,58291,15,4,"Bali, 21-12-1988",35,Pengusaha,Cerai hidup
24,Daniel Figueroa,1846832776177391,"Gang Otto Iskandardinata No. 78
Sorong, Aceh 11869",+62 (84) 856-4992,UD Ramirez Clark Tbk,laki-laki,S2,Retired,3,23000000.0,2023-06-23,13916666.666666666,5000000,3700000,140,9,Tidak tertagih,156,2,6000000,27833333.33333333,2000000,25000000,29500000,2000000,5500000,7500000,21000000,22500000,7500000,5000000,23000000,16500000,7,0,1,0,0,23,29,11,17,24,12,16,0,0,0,0,0,1,2,0,1,2,0,1,Diragukan,11869,20,17,"DI Yogyakarta, 19-02-1997",26,Pegawai Swasta,Cerai mati
25,Kimberly Brown,1396294045984489,"Jalan Sentot Alibasa No. 5
Palembang, SU 60934",+62-602-598-6376,CV Drake,laki-laki,S2,Retired,3,13000000.0,2023-06-12,14916666.666666666,12500000,10650000,0,0,Tertagih,474,0,4500000,0.0,19000000,17500000,14500000,17000000,14500000,17500000,16500000,10500000,17500000,12500000,11500000,10500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lancar,60934,11,13,"Sulawesi Barat, 07-12-1978",45,Pegawai Swasta,Cerai mati
26,Douglas Campos,6475549875423427,"Gg. Pasir Koja No. 179
Jambi, DKI Jakarta 05505",+62 (0703) 121-7581,Perum Hughes Cummings Tbk,laki-laki,S1,Retired,4,18000000.0,2023-02-04,17333333.333333332,17000000,13400000,78,3,Tidak tertagih,104,2,9000000,34666666.666666664,22000000,24000000,25000000,24000000,9000000,5500000,18000000,13500000,4500000,20000000,24000000,18500000,0,0,25,0,0,0,27,26,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,DPK,05505,16,11,"Nusa Tenggara Barat, 11-07-1986",37,Profesional,Menikah
27,Stephanie Pham,5837214612517230,"Jalan Cihampelas No. 15
Tangerang, Lampung 70367",+62 (038) 727-5218,PD Hunt Tbk,perempuan,SMP,Internship,6,2600000.0,2023-07-20,5291666.666666667,5500000,5150000,56,6,Tidak tertagih,8,1,4000000,5291666.666666667,6500000,6000000,5000000,9000000,6000000,500000,4500000,6500000,6000000,3500000,2000000,8000000,24,0,0,11,13,0,0,0,1,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,DPK,70367,15,19,"Aceh, 13-02-1977",46,Profesional,Cerai hidup
28,Cynthia Collins,8382833290169187,"Gg. Ciumbuleuit No. 500
Ambon, Sulawesi Tenggara 75766",+62 (16) 186 7045,Perum Sanders Tbk,laki-laki,S1,Retired,3,13000000.0,2023-05-20,14666666.666666666,10500000,9250000,59,3,Tertagih,410,2,6000000,29333333.33333333,13000000,17500000,10000000,18000000,12500000,12500000,10000000,18000000,18000000,17000000,11000000,18500000,0,0,0,0,0,10,23,26,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,DPK,75766,2,16,"Nusa Tenggara Timur, 28-07-1962",61,Pegawai Negeri,Menikah
29,Jonathan Sandoval,7270421669756399,"Gang Jakarta No. 868
Sorong, Sulawesi Barat 95997",+62-805-226-3704,Perum Cabrera (Persero) Tbk,perempuan,D1,Contract,4,5500000.0,2023-05-18,15291666.666666666,14000000,7300000,59,4,Tidak tertagih,365,1,6500000,15291666.666666666,12500000,19000000,17500000,16500000,13000000,19500000,13500000,18000000,10000000,18000000,14000000,12000000,0,0,0,20,0,24,5,0,0,0,10,0,0,0,0,1,0,1,0,0,0,0,0,0,DPK,95997,8,20,"Sumatera Barat, 03-04-1975",48,Pegawai Negeri,Menikah
30,Richard Mcintosh,5611605149906537,"Jl. Wonoayu No. 42
Banjarmasin, KU 37911",+62-078-716-2118,PT Santana Rogers (Persero) Tbk,laki-laki,D3,Retired,4,10500000.0,2023-03-05,15458333.333333334,7500000,6650000,34,3,Tidak tertagih,346,1,6000000,15458333.333333334,19000000,17500000,18000000,16000000,14500000,11000000,19500000,13000000,16000000,10000000,17500000,13500000,0,0,1,0,0,0,0,16,0,17,0,0,0,0,0,0,0,0,0,1,0,1,0,0,DPK,37911,12,10,"Kepulauan Riau, 30-09-1984",39,Profesional,Belum menikah
31,Paul Mills,9392855341618368,"Gg. Cempaka No. 453
Sabang, Sumatera Barat 30193",+62 (0100) 019-2961,PD Singh,perempuan,S1,Retired,3,18000000.0,2023-04-06,12583333.333333334,17000000,11500000,81,5,Tertagih,573,2,8000000,25166666.666666668,9000000,20500000,8000000,10000000,24500000,19000000,7500000,20000000,8000000,11500000,7500000,5500000,0,7,0,0,0,0,19,12,0,0,18,25,0,0,0,0,0,0,1,0,0,0,1,2,DPK,30193,13,15,"Papua, 09-09-1980",43,Profesional,Cerai mati
32,Erica Rogers,4725742240299810,"Gg. BKR No. 97
Surabaya, JT 50758",+62 (156) 352-5923,CV Wood Green,laki-laki,D1,Full-time,4,25500000.0,2023-04-05,35000000.0,33500000,27750000,140,8,Tidak tertagih,355,2,13000000,70000000.0,39000000,31500000,35500000,31000000,39500000,35000000,39500000,33000000,33000000,33500000,30500000,39000000,0,25,0,0,20,24,11,19,10,0,22,9,0,1,0,0,1,2,0,1,0,0,1,0,Diragukan,50758,16,10,"Kalimantan Utara, 24-04-1990",33,Buruh,Menikah
33,Michelle Cordova,6125431983108438,"Gg. Bangka Raya No. 4
Sungai Penuh, Nusa Tenggara Timur 70911",+62 (0192) 714-9214,PD Martinez Baker Tbk,perempuan,D3,Retired,3,10500000.0,2023-02-21,15750000.0,10000000,6900000,40,2,Tidak tertagih,325,1,5000000,15750000.0,16000000,13500000,17000000,19000000,13500000,17500000,18000000,13500000,13500000,17000000,19000000,11500000,0,0,20,0,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,DPK,70911,15,17,"Kalimantan Selatan, 06-05-1971",52,Pegawai Swasta,Cerai mati
34,Lauren Williamson,5083790182599593,"Gang Rungkut Industri No. 62
Pangkalpinang, SU 10045",+62 (036) 489-9634,PD Lowe Brennan,perempuan,D3,Retired,3,15500000.0,2023-04-29,10875000.0,19500000,10050000,0,0,Tertagih,656,0,14500000,0.0,7500000,4500000,24500000,9500000,12000000,4500000,23000000,3000000,3000000,8500000,12500000,18000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lancar,10045,9,8,"Jawa Timur, 10-01-1969",54,Pegawai Negeri,Menikah
35,Darryl Terry Jr.,8948296894153609,"Jl. Rungkut Industri No. 712
Madiun, LA 77588",+62 (031) 384 4019,PT Mccoy Cobb,laki-laki,S1,Retired,2,13000000.0,2023-09-09,13791666.666666666,17500000,14850000,27,2,Tidak tertagih,326,1,8500000,13791666.666666666,10000000,11000000,18000000,11000000,12500000,12000000,16500000,19000000,11500000,12000000,15500000,16500000,9,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,DPK,77588,11,18,"Jambi, 08-07-1973",50,Profesional,Cerai hidup
36,Ryan Potter,6462748842346821,"Gang Laswi No. 84
Ambon, Sulawesi Tengah 72133",+62 (697) 625-3094,PT Vargas Johnson,laki-laki,D3,Retired,3,10500000.0,2023-08-28,14750000.0,19500000,9950000,95,6,Tidak tertagih,288,1,4500000,14750000.0,10500000,15000000,19500000,19500000,11000000,13500000,15500000,19500000,19500000,11000000,11500000,11000000,0,28,4,18,0,0,0,0,12,0,7,26,0,1,0,1,0,0,0,0,0,0,0,1,Kurang lancar,72133,2,7,"Sulawesi Utara, 09-02-1962",61,Profesional,Cerai mati
37,Luis Gray,8933772315249294,"Gg. S. Parman No. 6
Lubuklinggau, SR 03326",+62-440-599-0789,UD King Reese Tbk,laki-laki,S1,Self-employed,2,29000000.0,2023-03-26,34291666.666666664,36000000,26400000,59,3,Tertagih,229,2,8000000,68583333.33333333,32500000,31500000,30500000,30000000,38000000,39000000,39500000,38500000,30500000,38500000,32000000,31000000,0,0,0,0,0,0,0,12,25,22,0,0,0,0,0,0,0,0,0,0,1,2,0,0,DPK,03326,16,15,"Papua Barat, 16-08-1969",54,Pegawai Swasta,Cerai hidup
38,Scott Chavez,1122000919231170,"Gang Sukajadi No. 0
Surakarta, JI 94512",+62 (50) 702-6547,UD Wilson,perempuan,D3,Retired,4,12500000.0,2023-05-17,15083333.333333334,6000000,4500000,19,1,Tertagih,369,1,6000000,15083333.333333334,11000000,11500000,13000000,18000000,19000000,13500000,17500000,14000000,19500000,19000000,13500000,11500000,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,DPK,94512,6,19,"Kalimantan Barat, 21-06-1966",57,Profesional,Cerai hidup
39,Crystal Wagner,6468385923502758,"Jalan Cempaka No. 0
Kota Administrasi Jakarta Selatan, JI 94671",+62 (0160) 811 8563,PT Rogers (Persero) Tbk,perempuan,SMA,Contract,2,7700000.0,2023-03-11,14875000.0,18000000,10900000,74,4,Tertagih,450,2,5500000,29750000.0,19000000,18500000,12000000,13000000,10500000,19500000,12500000,17500000,16000000,17500000,11000000,11500000,0,0,0,0,0,22,0,0,0,26,25,1,0,0,0,0,0,1,0,0,0,1,2,0,DPK,94671,12,14,"Sulawesi Tenggara, 12-05-1999",24,Pengusaha,Cerai hidup
40,Jennifer Carrillo,1835655790657472,"Gang Jend. Sudirman No. 9
Singkawang, SU 25341",+62-39-743-8557,UD Calderon (Persero) Tbk,laki-laki,S2,Retired,2,13000000.0,2023-07-02,15958333.333333334,4500000,2950000,16,3,Tidak tertagih,372,0,5500000,0.0,17500000,16500000,18000000,13500000,13500000,12500000,16000000,17500000,18500000,13500000,16000000,18500000,0,0,0,5,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,DPK,25341,14,13,"Sumatera Barat, 15-09-1983",40,Buruh,Cerai hidup
41,Christopher Wells,1298008507451229,"Jalan Yos Sudarso No. 55
Kota Administrasi Jakarta Pusat, Gorontalo 68037",+62 (68) 694 7578,PD Smith (Persero) Tbk,laki-laki,SD,Not-employed,2,2600000.0,2023-04-01,5041666.666666667,17500000,15950000,150,11,Tidak tertagih,17,3,15000000,15125000.0,8000000,3500000,9000000,4500000,9000000,5000000,500000,8000000,5500000,2500000,2500000,2500000,1,27,21,0,6,7,16,17,15,3,15,22,0,1,2,0,0,0,1,2,3,0,1,2,Diragukan,68037,12,14,"Jawa Timur, 22-11-1972",51,Pegawai Negeri,Cerai hidup
42,Joseph Shea,3350782285852216,"Gang R.E Martadinata No. 175
Pekanbaru, Sulawesi Tenggara 14693",+62 (62) 619 9029,PD Rogers Kennedy,laki-laki,D3,Full-time,4,17500000.0,2023-09-22,16083333.333333334,13000000,8700000,186,8,Tidak tertagih,205,4,7000000,64333333.333333336,21000000,22500000,29500000,14000000,14500000,8500000,24000000,6000000,21500000,21500000,3500000,6500000,0,28,0,14,27,22,30,29,0,10,26,0,0,1,0,0,1,2,3,4,0,0,1,0,Macet,14693,19,20,"Kalimantan Tengah, 08-06-1976",47,Pengusaha,Cerai mati
43,Donald Hunt,7523191470456709,"Jalan KH Amin Jasuta No. 01
Sabang, BB 24988",+62 (338) 189 1898,CV Shaw (Persero) Tbk,laki-laki,D1,Full-time,3,17500000.0,2023-09-08,22125000.0,8500000,4750000,15,1,Tertagih,619,1,15000000,22125000.0,21000000,24000000,29500000,22000000,20500000,26500000,20500000,11000000,28000000,26000000,17500000,19000000,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,DPK,24988,7,19,"Kalimantan Tengah, 31-05-1981",42,Pegawai Swasta,Cerai mati
44,Jamie Huang,9565218896028588,"Jl. Sukabumi No. 53
Surabaya, Sumatera Barat 16139",+62-81-378-9341,CV Webster Giles Tbk,perempuan,S1,Retired,2,18000000.0,2023-02-14,20083333.33333333,2500000,1550000,12,2,Tertagih,433,0,8000000,0.0,9000000,27500000,14500000,28500000,16000000,20500000,12000000,23000000,17500000,26000000,25000000,21500000,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DPK,16139,2,1,"Sulawesi Barat, 17-09-1979",44,Pegawai Swasta,Belum menikah
45,Maria Smith,4765881855499309,"Gg. Cikapayang No. 886
Mojokerto, AC 20886",+62-66-191-6552,PT Chang Nelson Tbk,perempuan,D3,Retired,4,10500000.0,2023-08-12,14916666.666666666,11000000,6500000,66,4,Tidak tertagih,356,1,8500000,14916666.666666666,16500000,10500000,13500000,18500000,16500000,17500000,10000000,13500000,13000000,13500000,16500000,19500000,0,15,0,0,23,0,21,0,0,0,7,0,0,1,0,0,1,0,1,0,0,0,0,0,DPK,20886,12,11,"Kalimantan Utara, 14-05-1966",57,Buruh,Cerai hidup
